"time";"text"
2012-03-12 23:29:33;"lurk"
2012-03-21 22:44:33;"lurk"
2012-03-25 09:06:52;"pr0n"
2012-03-25 09:07:07;"pr0n"
2012-03-25 19:29:03;"lurk"
2012-03-29 22:27:42;"films"
2012-03-30 18:07:33;"films"
2012-03-30 18:08:19;"films"
2012-04-05 15:10:37;"lurk"
2012-04-05 15:18:56;"lurk"
2012-04-06 21:24:23;"lurk"
2012-04-09 04:48:12;"lurk"
2012-04-14 00:54:23;"lurk"
2012-05-06 23:57:39;"pr0n"
2012-05-07 12:11:26;"wh40k"
2012-05-25 19:04:06;"films"
2012-06-08 23:52:46;"pr0n"
2012-06-09 00:38:21;"lurk"
2012-06-09 01:01:12;"pr0n"
2012-06-16 00:08:13;"pr0n"
2012-06-16 00:08:21;"pr0n"
2012-06-16 00:08:30;"pr0n"
2012-06-16 00:08:42;"pr0n"
2012-07-10 10:26:26;"lurk"
2012-07-16 18:41:38;"films"
2012-07-17 00:35:44;"films"
2012-07-19 10:03:38;"films"
2012-07-28 17:19:36;"lurk"
2012-08-03 03:02:01;"pr0n"
2012-08-11 23:19:12;"lurk"
2012-08-12 15:19:43;"lurk"
2012-08-12 20:51:33;"lurk"
2012-08-13 09:53:19;"lurk"
2012-08-14 17:01:10;"lurk"
2012-08-17 01:28:47;"films"
2012-08-17 01:29:30;"films"
2012-08-19 12:21:23;"lurk"
2012-08-19 22:39:31;"lurk"
2012-08-20 10:18:57;"lurk"
2012-08-23 09:52:47;"lurk"
2012-08-23 22:14:26;"lurk"
2012-08-27 22:39:03;"pr0n"
2012-08-27 23:18:21;"lurk"
2012-08-28 22:23:17;"lurk"
2012-09-04 04:01:57;"lurk"
2012-09-04 05:22:25;"lurk"
2012-09-06 15:38:39;"films"
2012-09-11 10:18:19;"lurk"
2012-09-14 10:51:40;"pr0n"
2012-09-14 10:52:01;"pr0n"
2012-09-15 00:50:11;"pr0n"
2012-09-15 03:33:34;"lurk"
2012-09-15 11:54:51;"lurk"
2012-09-16 16:35:51;"lurk"
2012-09-24 07:16:28;"lurk"
2012-09-24 14:11:54;"lurk"
2012-09-26 00:42:35;"lurk"
2012-09-27 06:33:17;"lurk"
2012-09-27 07:56:07;"lurk"
2012-09-27 10:51:06;"lurk"
2012-09-28 11:24:21;"lurk"
2012-09-28 13:13:59;"lurk"
2012-09-28 13:14:05;"lurk"
2012-09-28 15:01:13;"lurk"
2012-10-03 06:02:37;"pr0n"
